ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName
EGA_1002,EGA_10,เครื่องเล่น สัตว์เลี้ยง ไม้ประดับ และค่าใช้จ่ายเกี่ยวกับการบันเทิง,"Toys, pets, garden tree and recreation"
EGA_1003,EGA_10,ค่าผ่านประตู ค่าเรียนและเล่นกีฬา,"Admission, Sports fee"
EGA_1004,EGA_10,การอ่าน และกิจกรรมทางศาสนา/ลัทธิความเชื่อถือ,Reading / religious activities
EGA_11,EGA,ค่าใช้จ่ายเกี่ยวกับการจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses
EGB,,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,Non-consumption expenditures
EG01A,EGA_1,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน (ตัวเงิน),Rent / Estimated rental value of house and land (cash)
EG01BC,EGA_1,ค่าเช่าหรือค่าประเมินค่าเช่าบ้านและที่ดิน (สิ่งของ),Rent / Estimated rental value of house and land (in-kind)
EG0101A,EG01A,ค่าเช่าหรือค่าประเมินค่าเช่าที่อยู่อาศัย (ตัวเงิน),House rental payment / estimated value (cash)
EG0101BC,EG01BC,ค่าเช่าหรือค่าประเมินค่าเช่าที่อยู่อาศัย (สิ่งของ),House rental payment / estimated value (in-kind)
EG0102A,EG01A,ค่าเช่าที่ดินหรือค่าประเมินค่าเช่าที่ดิน (ตัวเงิน),Land rental payment / estimated value (cash)
EG0102BC,EG01BC,ค่าเช่าที่ดินหรือค่าประเมินค่าเช่าที่ดิน (สิ่งของ),Land rental payment / estimated value (in-kind)
EG02A,EGA_1,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (ตัวเงิน),"Repair of dwelling  (Including construction materials, (cash)"
EG02BC,EGA_1,ค่าซ่อมแซมบ้าน รวมค่าวัสดุก่อสร้างที่ใช้ (สิ่งของ),"Repair of dwelling  (Including construction materials, (in-kind)"
EG0201A,EG02A,ค่าไม้ ไม้อัด และไม้เทียม (ตัวเงิน),Lumber / Plywood / Artificial wood (cash)
EG0201BC,EG02BC,ค่าไม้ ไม้อัด และไม้เทียม (สิ่งของ),Lumber / Plywood / Artificial wood (in-kind)
EG0202A,EG02A,ค่าปูนซีเมนต์/ปูนผสมเสร็จ (ตัวเงิน),Cement / Ready-mixed concrete (cash)
EG0202BC,EG02BC,ค่าปูนซีเมนต์/ปูนผสมเสร็จ (สิ่งของ),Cement / Ready-mixed concrete (in-kind)
EG0203A,EG02A,ค่าอิฐ/คอนกรีตบล๊อก/อิฐมวลเบา (ตัวเงิน),Brick / Concrete block / Lightweight concrete (cash)
EG0203BC,EG02BC,ค่าอิฐ/คอนกรีตบล๊อก/อิฐมวลเบา (สิ่งของ),Brick / Concrete block / Lightweight concrete (in-kind)
EG0204A,EG02A,ค่าสังกะสี/เมทัลชีล (ตัวเงิน),Zinc / Metal sheet (cash)
EG0204BC,EG02BC,ค่าสังกะสี/เมทัลชีล (สิ่งของ),Zinc / Metal sheet (in-kind)
EG0205A,EG02A,ค่าทาสีบ้าน (ตัวเงิน),Paint (cash)
EG0205BC,EG02BC,ค่าทาสีบ้าน (สิ่งของ),Paint (in-kind)
EG0206A,EG02A,ค่าจ้างเหมา (ค่าแรงพร้อมวัสดุก่อสร้าง) (ตัวเงิน),Wage for a contract (cash)
EG0206BC,EG02BC,ค่าจ้างเหมา (ค่าแรงพร้อมวัสดุก่อสร้าง) (สิ่งของ),Wage for a contract (in-kind)
EG0207A,EG02A,"ค่าแรง (ทาสีบ้าน, ปูกระเบื้องและอื่น ๆ) (ตัวเงิน)","Wage (Paint, Tile and others) (cash)"
EG0207BC,EG02BC,"ค่าแรง (ทาสีบ้าน, ปูกระเบื้องและอื่น ๆ) (สิ่งของ)","Wage (Paint, Tile and others) (in-kind)"
EG0208A,EG02A,ค่าวัสดุก่อสร้างอื่น ๆ (ระบุ) (ตัวเงิน),Other construction equipment (specify) (cash)
EG0208BC,EG02BC,ค่าวัสดุก่อสร้างอื่น ๆ (ระบุ) (สิ่งของ),Other construction equipment (specify) (in-kind)
EG03A,EGA_1,ค่าติดตั้ง/ซ่อมแซมระบบประปา (รวม ห้องน้ำ) (ตัวเงิน),Installation / Repair plumbing and bathroom (cash)
EG03BC,EGA_1,ค่าติดตั้ง/ซ่อมแซมระบบประปา (รวม ห้องน้ำ) (สิ่งของ),Installation / Repair plumbing and bathroom (in-kind)
EG0301A,EG03A,ค่าฝักบัวอาบน้ำ/ค่าชุดสายฉีดชำระ (ตัวเงิน),Shower / Toilet spray hose (cash)
EG0301BC,EG03BC,ค่าฝักบัวอาบน้ำ/ค่าชุดสายฉีดชำระ (สิ่งของ),Shower / Toilet spray hose (in-kind)
EG0302A,EG03A,ค่าท่อพีวีซีประปา (ตัวเงิน),The PVC pipe (cash)
EG0302BC,EG03BC,ค่าท่อพีวีซีประปา (สิ่งของ),The PVC pipe (in-kind)
EG0303A,EG03A,ค่าชุดก็อกน้ำซิงค์ (ตัวเงิน),Faucet (cash)
EG0303BC,EG03BC,ค่าชุดก็อกน้ำซิงค์ (สิ่งของ),Faucet (in-kind)
EG0304A,EG03A,ค่าแรง/ค่าจ้างเหมาช่างประปา (ตัวเงิน),Plumber's wages / Wage for a contract (cash)
EG0304BC,EG03BC,ค่าแรง/ค่าจ้างเหมาช่างประปา (สิ่งของ),Plumber's wages / Wage for a contract (in-kind)
EG0305A,EG03A,ค่าอุปกรณ์ระบบท่อน้ำประปาอื่น ๆ (ระบุ) (ตัวเงิน),Other water supply equipments (specify) (cash)
EG0305BC,EG03BC,ค่าอุปกรณ์ระบบท่อน้ำประปาอื่น ๆ (ระบุ) (สิ่งของ),Other water supply equipments (specify) (in-kind)
EG0306A,EG03A,ค่าแรง/ค่าจ้างเหมา (ตัวเงิน),"Wage / Wage for a contract, (cash)"
EG0306BC,EG03BC,ค่าแรง/ค่าจ้างเหมา (สิ่งของ),"Wage / Wage for a contract, (in-kind)"
EG04A,EGA_1,ค่าติดตั้ง/ซ่อมแซมระบบไฟฟ้าในบ้าน (ตัวเงิน),Installation / Repair electricity (cash)
EG04BC,EGA_1,ค่าติดตั้ง/ซ่อมแซมระบบไฟฟ้าในบ้าน (สิ่งของ),Installation / Repair electricity (in-kind)
EG0401A,EG04A,ค่าอุปกรณ์ระบบไฟฟ้าทุกชนิด (ตัวเงิน),electric equipments (cash)
EG0401BC,EG04BC,ค่าอุปกรณ์ระบบไฟฟ้าทุกชนิด (สิ่งของ),electric equipments (in-kind)
EG0402A,EG04A,ค่าแรง (ตัวเงิน),Wage (cash)
EG0402BC,EG04BC,ค่าแรง (สิ่งของ),Wage (in-kind)
EG0403A,EG04A,ค่าจ้างเหมา (ตัวเงิน),Wage for a contract (cash)
EG0403BC,EG04BC,ค่าจ้างเหมา (สิ่งของ),Wage for a contract (in-kind)
EG05A,EGA_1,เครื่องมือ/อุปกรณ์สำหรับซ่อมแซมบ้าน (ตัวเงิน),Tools / Equipment (cash)
EG05BC,EGA_1,เครื่องมือ/อุปกรณ์สำหรับซ่อมแซมบ้าน (สิ่งของ),Tools / Equipment (in-kind)
EG06A,EGA_201,เครื่องเรือน และเฟอร์นิเจอร์ต่าง ๆ (ตัวเงิน),Major equipment and other furnitures (cash)
EG06BC,EGA_201,เครื่องเรือน และเฟอร์นิเจอร์ต่าง ๆ (สิ่งของ),Major equipment and other furnitures (in-kind)
EG0601A,EG06A,เตียง (ตัวเงิน),Bed (cash)
EG0601BC,EG06BC,เตียง (สิ่งของ),Bed (in-kind)
EG0602A,EG06A,เก้าอี้/โซฟา (ตัวเงิน),Chair / Sofa (cash)
EG0602BC,EG06BC,เก้าอี้/โซฟา (สิ่งของ),Chair / Sofa (in-kind)
EG0603A,EG06A,"โต๊ะ (รวม โต๊ะคอมพิวเตอร์, โต๊ะอาหาร) (ตัวเงิน)","Table (Including computer table, dining table) (cash)"
EG0603BC,EG06BC,"โต๊ะ (รวม โต๊ะคอมพิวเตอร์, โต๊ะอาหาร) (สิ่งของ)","Table (Including computer table, dining table) (in-kind)"
EG0604A,EG06A,ที่นอน (ตัวเงิน),Mattress (cash)
EG0604BC,EG06BC,ที่นอน (สิ่งของ),Mattress (in-kind)
EG0605A,EG06A,"ตู้ (รวม ตู้เสื้อผ้า, ตู้โชว์) (ตัวเงิน)","Cabinet (Including wardrobe, showcase) (cash)"
EG0605BC,EG06BC,"ตู้ (รวม ตู้เสื้อผ้า, ตู้โชว์) (สิ่งของ)","Cabinet (Including wardrobe, showcase) (in-kind)"
EG0606A,EG06A,เครื่องเรือน/เฟอร์นิเจอร์อื่น ๆ (ระบุ) (ตัวเงิน),Other furnishings (specify) (cash)
EG0606BC,EG06BC,เครื่องเรือน/เฟอร์นิเจอร์อื่น ๆ (ระบุ) (สิ่งของ),Other furnishings (specify) (in-kind)
EG07A,EGA_201,เตาแก๊ส/ไฟฟ้า เตาอบไมโครเวฟ (ตัวเงิน),"Cooking stove (gas / electric), microwave oven, (cash)"
EG07BC,EGA_201,เตาแก๊ส/ไฟฟ้า เตาอบไมโครเวฟ (สิ่งของ),"Cooking stove (gas / electric), microwave oven, (in-kind)"
EG0701A,EG07A,เตาแก๊ส (ตัวเงิน),Gas stove (cash)
EG0701BC,EG07BC,เตาแก๊ส (สิ่งของ),Gas stove (in-kind)
EG0702A,EG07A,เตาไฟฟ้า (เตาแม่เหล็กไฟฟ้า ฯลฯ) (ตัวเงิน),Electric stove (induction cooker etc.) (cash)
EG0702BC,EG07BC,เตาไฟฟ้า (เตาแม่เหล็กไฟฟ้า ฯลฯ) (สิ่งของ),Electric stove (induction cooker etc.) (in-kind)
EG0703A,EG07A,เตาอบไมโครเวฟ (ตัวเงิน),Microwave oven (cash)
EG0703BC,EG07BC,เตาอบไมโครเวฟ (สิ่งของ),Microwave oven (in-kind)
EG0704A,EG07A,หม้อหุงข้าวไฟฟ้า (ตัวเงิน),Rice cooker (cash)
EG0704BC,EG07BC,หม้อหุงข้าวไฟฟ้า (สิ่งของ),Rice cooker (in-kind)
EG0705A,EG07A,กระทะไฟฟ้า/หม้อทอดไฟฟ้า/หม้อทอดไร้น้ำมัน (ตัวเงิน),Electrical pan / Electric fryer / Air fryer (cash)
EG0705BC,EG07BC,กระทะไฟฟ้า/หม้อทอดไฟฟ้า/หม้อทอดไร้น้ำมัน (สิ่งของ),Electrical pan / Electric fryer / Air fryer (in-kind)
EG0706A,EG07A,อื่น ๆ (ระบุ) (ตัวเงิน),Others (specify) (cash)
EG0706BC,EG07BC,อื่น ๆ (ระบุ) (สิ่งของ),Others (specify) (in-kind)
EG08A,EGA_201,เครื่องบด/ปั่น กระติก/กาต้มน้ำไฟฟ้า (ตัวเงิน),"Grinder / Blender, electric pot (cash)"
EG08BC,EGA_201,เครื่องบด/ปั่น กระติก/กาต้มน้ำไฟฟ้า (สิ่งของ),"Grinder / Blender, electric pot (in-kind)"
EG0801A,EG08A,เครื่องบด/เครื่องปั่น (ตัวเงิน),Grinder / Blender (cash)
EG0801BC,EG08BC,เครื่องบด/เครื่องปั่น (สิ่งของ),Grinder / Blender (in-kind)
EG0802A,EG08A,กระติก/กาต้มน้ำไฟฟ้า (ตัวเงิน),Electrical pot (cash)
EG0802BC,EG08BC,กระติก/กาต้มน้ำไฟฟ้า (สิ่งของ),Electrical pot (in-kind)
EG09A,EGA_201,เครื่องซักผ้า เครื่องทำน้ำอุ่น (ตัวเงิน),"Washing machine, water heater, (cash)"
EG09BC,EGA_201,เครื่องซักผ้า เครื่องทำน้ำอุ่น (สิ่งของ),"Washing machine, water heater, (in-kind)"
EG0901A,EG09A,เครื่องซักผ้า (ตัวเงิน),Washing machine (cash)
EG0901BC,EG09BC,เครื่องซักผ้า (สิ่งของ),Washing machine (in-kind)
EG0902A,EG09A,เครื่องทำน้ำอุ่น (ตัวเงิน),Water heater (cash)
EG0902BC,EG09BC,เครื่องทำน้ำอุ่น (สิ่งของ),Water heater (in-kind)
EG0903A,EG09A,เครื่องกรองน้ำ (ตัวเงิน),Water-filter (cash)
EG0903BC,EG09BC,เครื่องกรองน้ำ (สิ่งของ),Water-filter (in-kind)
EG0904A,EG09A,เครื่องปั๊มน้ำ (ตัวเงิน),Water pump (cash)
EG0904BC,EG09BC,เครื่องปั๊มน้ำ (สิ่งของ),Water pump (in-kind)
EG10A,EGA_201,เครื่องปรับอากาศ ตู้เย็น พัดลม (ตัวเงิน),"Air conditioner, refrigerator, fan, (cash)"
EG10BC,EGA_201,เครื่องปรับอากาศ ตู้เย็น พัดลม (สิ่งของ),"Air conditioner, refrigerator, fan, (in-kind)"
EG1001A,EG10A,เครื่องปรับอากาศ (ตัวเงิน),Air conditioner (cash)
EG1001BC,EG10BC,เครื่องปรับอากาศ (สิ่งของ),Air conditioner (in-kind)
EG1002A,EG10A,ตู้เย็น (ตัวเงิน),Refrigerator (cash)
EG1002BC,EG10BC,ตู้เย็น (สิ่งของ),Refrigerator (in-kind)
EG1003A,EG10A,พัดลม (ตัวเงิน),fan (cash)
EG1003BC,EG10BC,พัดลม (สิ่งของ),fan (in-kind)
EG1004A,EG10A,พัดลมดูดอากาศ/เครื่องกรองอากาศ (ตัวเงิน),Exhaust fan / Air filter (cash)
EG1004BC,EG10BC,พัดลมดูดอากาศ/เครื่องกรองอากาศ (สิ่งของ),Exhaust fan / Air filter (in-kind)
EG11A,EGA_201,เครื่องใช้อื่น ๆ (ตัวเงิน),Other major equipment (cash)
EG11BC,EGA_201,เครื่องใช้อื่น ๆ (สิ่งของ),Other major equipment (in-kind)
EG1101A,EG11A,เครื่องดูดฝุ่น/หุ่นยนต์ดูดฝุ่น (ตัวเงิน),Vacuum cleaner / Vacuum cleaner robot (cash)
EG1101BC,EG11BC,เครื่องดูดฝุ่น/หุ่นยนต์ดูดฝุ่น (สิ่งของ),Vacuum cleaner / Vacuum cleaner robot (in-kind)
EG1102A,EG11A,เตารีด (ตัวเงิน),Iron (cash)
EG1102BC,EG11BC,เตารีด (สิ่งของ),Iron (in-kind)
EG1103A,EG11A,ค่ารางปลั๊กไฟ/ตลับปลั๊กไฟ (ตัวเงิน),Power strip (cash)
EG1103BC,EG11BC,ค่ารางปลั๊กไฟ/ตลับปลั๊กไฟ (สิ่งของ),Power strip (in-kind)
EG1104A,EG11A,อื่น ๆ (ระบุ) (ตัวเงิน),Others (specify) (cash)
EG1104BC,EG11BC,อื่น ๆ (ระบุ) (สิ่งของ),Others (specify) (in-kind)
EG12A,EGA_201,ค่าซ่อมแซม/บำรุงรักษาเครื่องใช้อื่น ๆ (ตัวเงิน),Repairing / Maintenance fees (cash)
EG12BC,EGA_201,ค่าซ่อมแซม/บำรุงรักษาเครื่องใช้อื่น ๆ (สิ่งของ),Repairing / Maintenance fees (in-kind)
EG1201A,EG12A,ค่าบริการล้างแอร์ (ตัวเงิน),Charge for the clear air (cash)
EG1201BC,EG12BC,ค่าบริการล้างแอร์ (สิ่งของ),Charge for the clear air (in-kind)
EG1202A,EG12A,ค่าซ่อมแซม/บำรุงรักษาเครื่องใช้ อื่น ๆ (ระบุ) (ตัวเงิน),Other repairing / maintenance fees (specify) (cash)
EG1202BC,EG12BC,ค่าซ่อมแซม/บำรุงรักษาเครื่องใช้ อื่น ๆ (ระบุ) (สิ่งของ),Other repairing / maintenance fees (specify) (in-kind)
EG13A,EGA_202,เครื่องนอน และผ้าที่ใช้ตกแต่ง (ตัวเงิน),Bedding equipment and furnishing cloth (cash)
EG13BC,EGA_202,เครื่องนอน และผ้าที่ใช้ตกแต่ง (สิ่งของ),Bedding equipment and furnishing cloth (in-kind)
EG1301A,EG13A,ผ้าปูที่นอน/ปลอกหมอน (ตัวเงิน),Bedsheet / Pillowcase (cash)
EG1301BC,EG13BC,ผ้าปูที่นอน/ปลอกหมอน (สิ่งของ),Bedsheet / Pillowcase (in-kind)
EG1302A,EG13A,หมอนทุกชนิด (ตัวเงิน),Pillow (cash)
EG1302BC,EG13BC,หมอนทุกชนิด (สิ่งของ),Pillow (in-kind)
EG1303A,EG13A,ผ้าห่ม/ผ้านวม (ตัวเงิน),Blankets / Duvets (cash)
EG1303BC,EG13BC,ผ้าห่ม/ผ้านวม (สิ่งของ),Blankets / Duvets (in-kind)
EG1304A,EG13A,เครื่องนอน/ผ้าที่ใช้ตกแต่งอื่น ๆ (ระบุ) (ตัวเงิน),Other bedding equipments (specify) (cash)
EG1304BC,EG13BC,เครื่องนอน/ผ้าที่ใช้ตกแต่งอื่น ๆ (ระบุ) (สิ่งของ),Other bedding equipments (specify) (in-kind)
EG14A,EGA_202,ผ้าสำหรับใช้ในครัว และโต๊ะอาหาร (ตัวเงิน),Cloth used in kitchen and dining table (cash)
EG14BC,EGA_202,ผ้าสำหรับใช้ในครัว และโต๊ะอาหาร (สิ่งของ),Cloth used in kitchen and dining table (in-kind)
EG15A,EGA_202,ผ้าอื่น ๆ ที่ใช้ในครัวเรือน (ตัวเงิน),Other cloth used in household (cash)
EG15BC,EGA_202,ผ้าอื่น ๆ ที่ใช้ในครัวเรือน (สิ่งของ),Other cloth used in household (in-kind)
EG1501A,EG15A,ผ้าเช็ดตัว/ผ้าขนหนู (ตัวเงิน),Towel (cash)
EG1501BC,EG15BC,ผ้าเช็ดตัว/ผ้าขนหนู (สิ่งของ),Towel (in-kind)
EG1502A,EG15A,เสื่อทุกชนิดและผ้าอื่น ๆ (ระบุ) (ตัวเงิน),All kinds of mats and other fabrics (specify) (cash)
EG1502BC,EG15BC,เสื่อทุกชนิดและผ้าอื่น ๆ (ระบุ) (สิ่งของ),All kinds of mats and other fabrics (specify) (in-kind)
EG16A,EGA_203,เครื่องใช้ในครัว (กระทะ หม้อ ฯลฯ) (ตัวเงิน),"Kitchen appliance (pan, pot etc.) (cash)"
EG16BC,EGA_203,เครื่องใช้ในครัว (กระทะ หม้อ ฯลฯ) (สิ่งของ),"Kitchen appliance (pan, pot etc.) (in-kind)"
EG1601A,EG16A,กระทะ (ตัวเงิน),Pan (cash)
EG1601BC,EG16BC,กระทะ (สิ่งของ),Pan (in-kind)
EG1602A,EG16A,หม้อ (ตัวเงิน),Pot (cash)
EG1602BC,EG16BC,หม้อ (สิ่งของ),Pot (in-kind)
EG1603A,EG16A,ถ้วยชาม/จาน (ตัวเงิน),Cup / Dish / Bowl (cash)
EG1603BC,EG16BC,ถ้วยชาม/จาน (สิ่งของ),Cup / Dish / Bowl (in-kind)
EG1604A,EG16A,มีด (ตัวเงิน),Knife (cash)
EG1604BC,EG16BC,มีด (สิ่งของ),Knife (in-kind)
EG1605A,EG16A,ช้อน ส้อม (ตัวเงิน),"Spoon, fork (cash)"
EG1605BC,EG16BC,ช้อน ส้อม (สิ่งของ),"Spoon, fork (in-kind)"
EG1606A,EG16A,เครื่องใช้ในครัวอื่น ๆ  (ระบุ) (ตัวเงิน),Other kitchen appliances (specify) (cash)
EG1606BC,EG16BC,เครื่องใช้ในครัวอื่น ๆ  (ระบุ) (สิ่งของ),Other kitchen appliances (specify) (in-kind)
EG17A,EGA_203,กระติกน้ำร้อน/น้ำเย็น ถัง อ่าง และอื่น ๆ (ตัวเงิน),"Hot / cold water flask, tank, sink and others (cash)"
EG17BC,EGA_203,กระติกน้ำร้อน/น้ำเย็น ถัง อ่าง และอื่น ๆ (สิ่งของ),"Hot / cold water flask, tank, sink and others (in-kind)"
EG1701A,EG17A,กระติกน้ำร้อน/น้ำเย็น (ตัวเงิน),Hot-cold water flask / (cash)
EG1701BC,EG17BC,กระติกน้ำร้อน/น้ำเย็น (สิ่งของ),Hot-cold water flask / (in-kind)
EG1702A,EG17A,ถัง/อ่าง/กะละมัง (ตัวเงิน),Tank / Sink / Basin (cash)
EG1702BC,EG17BC,ถัง/อ่าง/กะละมัง (สิ่งของ),Tank / Sink / Basin (in-kind)
EG1703A,EG17A,"แก้วน้ำ (แก้ว, พลาสติก, เซรามิค) (ตัวเงิน)","Water glass (glass, plastic, ceramic) (cash)"
EG1703BC,EG17BC,"แก้วน้ำ (แก้ว, พลาสติก, เซรามิค) (สิ่งของ)","Water glass (glass, plastic, ceramic) (in-kind)"
EG1704A,EG17A,อื่น ๆ (ระบุ) (ตัวเงิน),Others (specify) (cash)
EG1704BC,EG17BC,อื่น ๆ (ระบุ) (สิ่งของ),Others (specify) (in-kind)
EG18A,EGA_204,ไฟฟ้า (ตัวเงิน),Electricity (cash)
EG18BC,EGA_204,ไฟฟ้า (สิ่งของ),Electricity (in-kind)
EG19A,EGA_204,แก๊สหุงต้ม (ตัวเงิน),Cooking gas (cash)
EG19BC,EGA_204,แก๊สหุงต้ม (สิ่งของ),Cooking gas (in-kind)
EG20A,EGA_204,แก๊สใช้อย่างอื่น (ไม่รวม ที่ใช้กับรถยนต์ส่วนบุคคล) (ตัวเงิน),Gas for other purposes (Excluding for personal car) (cash)
EG20BC,EGA_204,แก๊สใช้อย่างอื่น (ไม่รวม ที่ใช้กับรถยนต์ส่วนบุคคล) (สิ่งของ),Gas for other purposes (Excluding for personal car) (in-kind)
EG21A,EGA_204,ถ่านไม้และฟืน (ตัวเงิน),Charcoal and fire wood (cash)
EG21BC,EGA_204,ถ่านไม้และฟืน (สิ่งของ),Charcoal and fire wood (in-kind)
EG22A,EGA_204,น้ำมันก๊าด (ตัวเงิน),Kerosene (cash)
EG22BC,EGA_204,น้ำมันก๊าด (สิ่งของ),Kerosene (in-kind)
EG23A,EGA_204,วัสดุ/อุปกรณ์เกี่ยวกับแสงสว่าง (ตัวเงิน),Lighting accessories (cash)
EG23BC,EGA_204,วัสดุ/อุปกรณ์เกี่ยวกับแสงสว่าง (สิ่งของ),Lighting accessories (in-kind)
EG2301A,EG23A,หลอดไฟ (ตัวเงิน),Light bulb (cash)
EG2301BC,EG23BC,หลอดไฟ (สิ่งของ),Light bulb (in-kind)
EG2302A,EG23A,ไฟฉาย (ตัวเงิน),Flashlight (cash)
EG2302BC,EG23BC,ไฟฉาย (สิ่งของ),Flashlight (in-kind)
EG2303A,EG23A,ถ่านไฟฉาย (ตัวเงิน),Battery (cash)
EG2303BC,EG23BC,ถ่านไฟฉาย (สิ่งของ),Battery (in-kind)
EG2304A,EG23A,ไฟแช็ค (ตัวเงิน),Lighter (cash)
EG2304BC,EG23BC,ไฟแช็ค (สิ่งของ),Lighter (in-kind)
EG2305A,EG23A,วัสดุ/อุปกรณ์เกี่ยวกับแสงสว่างอื่น ๆ (ระบุ) (ตัวเงิน),Equipments related to lighting (specify) (cash)
EG2305BC,EG23BC,วัสดุ/อุปกรณ์เกี่ยวกับแสงสว่างอื่น ๆ (ระบุ) (สิ่งของ),Equipments related to lighting (specify) (in-kind)
EG24A,EGA_204,น้ำประปา น้ำบ่อ/น้ำบาดาล (ตัวเงิน),Water supply / Underground water (cash)
EG24BC,EGA_204,น้ำประปา น้ำบ่อ/น้ำบาดาล (สิ่งของ),Water supply / Underground water (in-kind)
EG2401A,EG24A,น้ำประปา (ตัวเงิน),Water supply (cash)
EG2401BC,EG24BC,น้ำประปา (สิ่งของ),Water supply (in-kind)
EG2402A,EG24A,น้ำบ่อ/น้ำบาดาล (ตัวเงิน),Underground water (cash)
EG2402BC,EG24BC,น้ำบ่อ/น้ำบาดาล (สิ่งของ),Underground water (in-kind)
EG25A,EGA_205,ไม้ถูพื้น ไม้กวาด แปรง ฯลฯ (ตัวเงิน),"Mops, brooms, brushes, etc. (cash)"
EG25BC,EGA_205,ไม้ถูพื้น ไม้กวาด แปรง ฯลฯ (สิ่งของ),"Mops, brooms, brushes, etc. (in-kind)"
EG2501A,EG25A,ไม้ถูพื้น/ไม้ถูพื้นพร้อมถังปั่น (ตัวเงิน),Mops (cash)
EG2501BC,EG25BC,ไม้ถูพื้น/ไม้ถูพื้นพร้อมถังปั่น (สิ่งของ),Mops (in-kind)
EG2502A,EG25A,ไม้กวาด (ตัวเงิน),Brooms (cash)
EG2502BC,EG25BC,ไม้กวาด (สิ่งของ),Brooms (in-kind)
EG2503A,EG25A,แปรงขัดห้องน้ำ/แปรงอื่น ๆ (ระบุ) (ตัวเงิน),Brushes (specify) (cash)
EG2503BC,EG25BC,แปรงขัดห้องน้ำ/แปรงอื่น ๆ (ระบุ) (สิ่งของ),Brushes (specify) (in-kind)
EG26A,EGA_205,ผงซักฟอก สบู่ซักผ้า ปรับผ้านุ่ม และอัดจีบผ้า ฯลฯ (ตัวเงิน),"Detergent, softener, ironing liquid, etc. (cash)"
EG26BC,EGA_205,ผงซักฟอก สบู่ซักผ้า ปรับผ้านุ่ม และอัดจีบผ้า ฯลฯ (สิ่งของ),"Detergent, softener, ironing liquid, etc. (in-kind)"
EG2601A,EG26A,ผงซักฟอก/สบู่ซักผ้า/น้ำยาซักผ้า/ก้อนซักผ้า (ตัวเงิน),Detergent powder / Laundry soap / (cash)
